iter	MultiClass
254	0.2152197488
255	0.2140580099
256	0.2128312868
257	0.2123102951
258	0.2117101578
259	0.2109647714
260	0.2106718025
261	0.2099122121
262	0.209505759
263	0.2088968961
264	0.2080475006
265	0.2076940086
266	0.2066378407
267	0.2060419846
268	0.2055376847
269	0.2050442159
270	0.2043255745
271	0.2038902364
272	0.2034711561
273	0.2030938833
274	0.2027064988
275	0.2023356904
276	0.2016204181
277	0.2008246614
278	0.2006087623
279	0.2000811663
280	0.1996568116
281	0.1993583328
282	0.1987576043
283	0.1984678352
284	0.1977513968
285	0.1972948416
286	0.1966276568
287	0.1961084485
288	0.1952883
289	0.1946893452
290	0.1940892029
291	0.1931857085
292	0.19287931
293	0.1920627222
294	0.1915039551
295	0.1911374412
296	0.1904514885
297	0.1900949636
298	0.1897784174
299	0.1893983878
300	0.1886213252
301	0.1880536313
302	0.1873318579
303	0.1869914159
304	0.1866102936
305	0.1858397203
306	0.1855965594
307	0.1851994498
308	0.1847002203
309	0.1844447832
310	0.1840200827
311	0.1838017993
312	0.1836510007
313	0.1832174099
314	0.1826742239
315	0.1819174551
316	0.1816072079
317	0.181177355
318	0.1806616478
319	0.1804765089
320	0.179966683
321	0.1795758622
322	0.1790727012
323	0.178431101
324	0.1780591951
325	0.1775253846
326	0.1769546387
327	0.1762619709
328	0.1758847361
329	0.1753554138
330	0.1748616911
331	0.1742955646
332	0.1737548961
333	0.1733090444
334	0.1728820525
335	0.172357951
336	0.1721263735
337	0.1715967011
338	0.1713027244
339	0.1710476004
340	0.1704783829
341	0.1702312503
342	0.1697494083
343	0.1691568695
344	0.1689567261
345	0.1685448076
346	0.1681939827
347	0.1677525871
348	0.1673357283
349	0.1668866181
350	0.1664693929
351	0.165958498
352	0.1656638615
353	0.1651925563
354	0.1645855127
355	0.1642181808
356	0.1639631714
357	0.1637326646
358	0.1630408609
359	0.1627129968
360	0.1623744342
361	0.1622665214
362	0.161650622
363	0.1615885435
364	0.1614675324
365	0.1611197437
366	0.1607966262
367	0.1600855667
368	0.1598398883
369	0.159721211
370	0.1593944386
371	0.158833734
372	0.1582517538
373	0.1580904021
374	0.157644394
375	0.1574730282
376	0.1569767901
377	0.1565933512
378	0.1562465219
379	0.1558352072
380	0.1553765182
381	0.1547277796
382	0.154514503
383	0.1541379951
384	0.1538942324
385	0.1536458229
386	0.1533626802
387	0.1531209762
388	0.1528688231
389	0.1527291776
390	0.1523966856
391	0.1518716942
392	0.1513857141
393	0.1510849848
394	0.1507944809
395	0.1502725684
396	0.1499219541
397	0.1496405344
398	0.1493897892
399	0.1487636546
400	0.1484844729
401	0.1481106157
402	0.1476523472
403	0.1473300965
404	0.1471545392
405	0.1469897357
406	0.1467754637
407	0.1463293117
408	0.1462161946
409	0.1456211192
410	0.1452329095
411	0.1450466431
412	0.1445762059
413	0.1444328662
414	0.1442203401
415	0.1438315314
416	0.1434794224
417	0.143045519
418	0.142765778
419	0.1426989188
420	0.1424673819
421	0.1418631514
422	0.1414849912
423	0.1407322553
424	0.1405117844
425	0.1399193372
426	0.1395581443
427	0.1389686885
428	0.1388156432
429	0.1386072142
430	0.1384531201
431	0.1380684965
432	0.1378364417
433	0.1374423943
434	0.1370455946
435	0.1367206778
436	0.1362116494
437	0.1359716934
438	0.1356724309
439	0.13532593
440	0.135020882
441	0.1345918103
442	0.1343210191
443	0.1340239299
444	0.1336027229
445	0.1332161511
446	0.1327519092
447	0.1325559819
448	0.1324095981
449	0.1322627669
450	0.1315654674
451	0.1314011758
452	0.1309743981
453	0.1305823578
454	0.130089949
455	0.1299669519
456	0.129596435
457	0.1295273826
458	0.1290671823
459	0.1288522546
460	0.1286201413
461	0.1284186806
462	0.1281048299
463	0.1277394553
464	0.1275134229
465	0.12725522
466	0.127027693
467	0.1265974206
468	0.1262982632
469	0.1260006762
470	0.1254604072
471	0.125104063
472	0.1249890479
473	0.1247021281
474	0.1243191426
475	0.1240862542
476	0.1236999859
477	0.1233777939
478	0.1228500486
479	0.1226903064
480	0.1224330701
481	0.1222491953
482	0.1220498765
483	0.1219693563
484	0.1215385015
485	0.1210234903
486	0.1206827434
487	0.1204969526
488	0.1202563347
489	0.1199058875
490	0.1195934397
491	0.119393244
492	0.1191075025
493	0.118662817
494	0.1183284176
495	0.1180301502
496	0.1178513411
497	0.1176739837
498	0.1173657062
499	0.1170405052
500	0.1168413467
501	0.1165203428
502	0.1161975651
503	0.1160054598
504	0.1157417318
505	0.1154794608
506	0.1150802244
507	0.1148206119
508	0.114487537
509	0.1142069216
510	0.1139972149
511	0.1137437487
512	0.1134575502
513	0.1131373622
514	0.1127849279
515	0.1127010729
516	0.1126141417
517	0.1123098536
518	0.1121798421
519	0.1119450414
520	0.1117247465
521	0.1115076672
522	0.1113155282
523	0.111167561
524	0.1109591178
525	0.1106870111
526	0.1103703647
527	0.1101734238
528	0.1098495015
529	0.1097453091
530	0.109485825
531	0.1093406917
532	0.1091938061
533	0.1091648817
534	0.1089362039
535	0.1088486573
536	0.1085925196
537	0.1081571487
538	0.108107024
539	0.1077180597
540	0.1073376055
541	0.107150416
542	0.1069889727
543	0.1068360678
544	0.1064766484
545	0.1063744396
546	0.1062168257
547	0.1061149885
548	0.1059275475
549	0.1055930269
550	0.1054553026
551	0.1052095837
552	0.1049529991
553	0.1047960112
554	0.1045911217
555	0.1043650283
556	0.1042102719
557	0.1039663477
558	0.103761558
559	0.1035828709
560	0.1034902221
561	0.1032377053
562	0.1030730508
563	0.1027023345
564	0.1025141147
565	0.1024201401
566	0.1022895506
567	0.1020008433
568	0.1017700074
569	0.1015536458
570	0.101303191
571	0.1010236727
572	0.1008522061
573	0.1006212575
574	0.1003994321
575	0.1002520567
576	0.100130341
577	0.1000314533
578	0.09988163899
579	0.09967670826
580	0.09949200115
581	0.09940833283
582	0.09931785228
583	0.09917875994
584	0.09887495855
585	0.09871403287
586	0.09849896873
587	0.09815800286
588	0.09798038858
589	0.09782573165
590	0.09770044321
591	0.09751414458
592	0.09743160025
593	0.09724512632
594	0.09702202613
595	0.09674017496
596	0.09653494132
597	0.0963699751
598	0.09611629921
599	0.09586268235
600	0.09573979886
601	0.09556481752
602	0.09538378175
603	0.09521527964
604	0.09510535664
605	0.09485738758
606	0.09463162674
607	0.09433516986
608	0.09419070287
609	0.09381596894
610	0.09370263542
611	0.09345265658
612	0.09318541904
613	0.09309879458
614	0.09300341664
615	0.09298060777
616	0.09279676266
617	0.09252499782
618	0.09238598283
619	0.0922404607
620	0.09214416531
621	0.0919495389
622	0.0918003206
623	0.09157766946
624	0.09141404905
625	0.09126896748
626	0.09104008464
627	0.09095501637
628	0.09081345595
629	0.09061739107
630	0.09046246705
631	0.0902492977
632	0.09007345675
633	0.08988161745
634	0.08967513698
635	0.08948740542
636	0.08930552674
637	0.08913446142
638	0.08896920127
639	0.08890994702
640	0.08880241188
641	0.08870897938
642	0.08853232421
643	0.0883240292
644	0.08820817619
645	0.08804613775
646	0.08788978413
647	0.08770983532
648	0.0875817906
649	0.08747411667
650	0.08726338022
651	0.08719730676
652	0.08703484368
653	0.08683458698
654	0.08671160944
655	0.08652039272
656	0.086377165
657	0.08624720167
658	0.08618451995
659	0.08596528576
660	0.08579939893
661	0.08567536405
662	0.08542850395
663	0.08536543119
664	0.08520674007
665	0.08507312886
666	0.08496017156
667	0.08474803566
668	0.08450920388
669	0.08440103857
670	0.0842975717
671	0.0842562466
672	0.08406921043
673	0.08391652797
674	0.08385689167
675	0.08376687004
676	0.08362833573
677	0.08348797666
678	0.08335086809
679	0.08316873314
680	0.08305384201
681	0.08298123076
682	0.08284187062
683	0.08263909496
684	0.08253217466
685	0.08236883388
686	0.08217924118
687	0.0821173983
688	0.08201565493
689	0.08182216894
690	0.08159222883
691	0.08154666321
692	0.08132522736
693	0.08114590406
694	0.08098465854
695	0.08076870832
696	0.08069816433
697	0.08043585027
698	0.08037714894
699	0.08026236777
700	0.08017691434
701	0.07995670621
702	0.07981789618
703	0.07965884335
704	0.07949146266
705	0.0793724614
706	0.07920327638
707	0.07913293011
708	0.07903106665
709	0.07893926558
710	0.07885727299
711	0.07871819094
712	0.07860519012
713	0.07849220056
714	0.07840874944
715	0.07824273791
716	0.07815949565
717	0.07808373253
718	0.07790368656
719	0.07780505572
720	0.07769734072
721	0.07753271897
722	0.07732264029
723	0.07722403572
724	0.07711554911
725	0.0770166576
726	0.07694333654
727	0.07677588371
728	0.07668508004
729	0.07657169535
730	0.07642127436
731	0.07633126791
732	0.07618210108
733	0.07598634749
734	0.07582950888
735	0.0756410652
736	0.07550919922
737	0.07541867508
738	0.07526621211
739	0.07509660407
740	0.07496120526
741	0.07480610201
742	0.0746775257
743	0.07448491988
744	0.07438178912
745	0.07427393729
746	0.07416267951
747	0.07406469006
748	0.07397924782
749	0.07390305137
750	0.07374012867
751	0.07357783813
752	0.07347813678
753	0.07342379263
754	0.07336315913
755	0.07327714314
756	0.0732161608
757	0.07301239813
758	0.07295959258
759	0.07282648681
760	0.07276810776
761	0.07262089308
762	0.07250181232
763	0.07240474486
764	0.07229645972
765	0.07217107029
766	0.07204557031
767	0.07193676719
768	0.07184588457
769	0.07176359016
770	0.07166467365
771	0.07152705842
772	0.0713654384
773	0.07127136884
774	0.07110907826
775	0.0710145556
776	0.07092797383
777	0.07081031797
778	0.07071782993
779	0.07058019409
780	0.07043214715
781	0.07031123374
782	0.07020759932
783	0.070074833
784	0.06989576077
785	0.06977203606
786	0.06964864702
787	0.06957232534
788	0.06948902685
789	0.06936985669
790	0.069188837
791	0.06909817786
792	0.06896109068
793	0.06881728095
794	0.06864399836
795	0.06852093004
796	0.06843118486
797	0.06836294341
798	0.06825964468
799	0.06816737407
800	0.06808271735
801	0.06790390284
802	0.0677374829
803	0.06761644275
804	0.06755209302
805	0.06749471949
806	0.06738902506
807	0.06724599792
808	0.06714080689
809	0.06702404324
810	0.06692269252
811	0.06684468671
812	0.06676780687
813	0.06671297308
814	0.06658348928
815	0.06647766262
816	0.06637096683
817	0.06630691266
818	0.0662189173
819	0.06609496768
820	0.06599055842
821	0.06589500222
822	0.06574946871
823	0.06567073199
824	0.06558997993
825	0.06546277284
826	0.06539356524
827	0.0652757955
828	0.06516895645
829	0.06509921772
830	0.06497181278
831	0.06482485699
832	0.06472894373
833	0.06461831768
834	0.06455729793
835	0.06442673146
836	0.06434897479
837	0.0642948005
838	0.06417621282
839	0.06410855722
840	0.06400899465
841	0.06389021908
842	0.06379883192
843	0.06362135311
844	0.06351709939
845	0.06337662254
846	0.06324641648
847	0.06315539586
848	0.06306293916
849	0.06293779309
850	0.06279604863
851	0.06274464746
852	0.06266995509
853	0.06256303392
854	0.06252664259
855	0.0624138668
856	0.06232487771
857	0.06216338515
858	0.06209475789
859	0.06201142565
860	0.06195691786
861	0.06182206674
862	0.06172531736
863	0.06159858961
864	0.06151711058
865	0.06142708383
866	0.06137739706
867	0.06126506161
868	0.06114762471
869	0.06105825783
870	0.06095883542
871	0.06078848566
872	0.06069057338
873	0.0605503897
874	0.06047468276
875	0.06037599858
876	0.06026041178
877	0.06017603512
878	0.06006323799
879	0.05992651426
880	0.05983272984
881	0.05973263361
882	0.05966809926
883	0.05959520678
884	0.0594844908
885	0.05938726636
886	0.05933429401
887	0.05927739055
888	0.05917429494
889	0.05908675422
890	0.05899473476
891	0.05891459029
892	0.05881586633
893	0.05859022532
894	0.05847657897
895	0.05845302077
896	0.0583678806
897	0.05832129854
898	0.05827379696
899	0.05821526307
900	0.0581700439
901	0.05805755809
902	0.05796723256
903	0.0578609508
904	0.05774159658
905	0.05769267237
906	0.05764095624
907	0.05756892167
908	0.05747446946
909	0.05736748301
910	0.05727334504
911	0.05722776686
912	0.05714468613
913	0.0571125862
914	0.05706622732
915	0.05699547809
916	0.05691048545
917	0.05686130707
918	0.0568444227
919	0.05673175859
920	0.05668626736
921	0.05662692449
922	0.0565509561
923	0.05651022474
924	0.05647244605
925	0.05643416499
926	0.05637950874
927	0.05633630841
928	0.05628204985
929	0.05620652392
930	0.05613777059
931	0.0560262352
932	0.05594732471
933	0.05586561888
934	0.05579480667
935	0.05572575876
936	0.0556455057
937	0.05560952671
938	0.05552819923
939	0.05548278789
940	0.05541399757
941	0.05536404565
942	0.05527670482
943	0.05518758017
944	0.05512563796
945	0.05507745171
946	0.05504611057
947	0.05499244318
948	0.0549173893
949	0.05483497337
950	0.05477322087
951	0.05464205498
952	0.05461231541
953	0.05445904648
954	0.05435021983
955	0.05427769739
956	0.05414516382
957	0.05409401868
958	0.05399171186
959	0.05394638501
960	0.05389173239
961	0.05381728296
962	0.0537561478
963	0.05368424017
964	0.05365876656
965	0.05357123742
966	0.05352295102
967	0.05345209982
968	0.05335559549
969	0.05329414824
970	0.05322569487
971	0.05313668164
972	0.05303896466
973	0.05299627461
974	0.05292860292
975	0.05284485622
976	0.0527328348
977	0.05264512289
978	0.05257606251
979	0.05251743066
980	0.05243844043
981	0.05233706636
982	0.05229699567
983	0.0522411235
984	0.05211003397
985	0.05207327781
986	0.052013957
987	0.05195377182
988	0.05186585797
989	0.05175906823
990	0.05170251692
991	0.05164133586
992	0.05159161933
993	0.05149635755
994	0.05143385132
995	0.05136585475
996	0.05131808056
997	0.05126368614
998	0.05118848732
999	0.05111705599
